Institution Index,Institution,Last Name,Mid Name,First Name,Ph.D. Graduation Year,Ph.D. Graduate School,Research Interest,H-index,Citations,Publications,Publications Divided by Co-authors,Remarks,Collector
394,University of Illinois at Urbana-Champaign,Amato,Marie,Nancy,1995,University of Illinois at Urbana-Champaign,ROBOTICS,56,11070,95,29.4,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Forsyth,Alexander,David,1988,University of Oxford,VISION,78,34702,92,35.6,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Torrellas,,Josep,1992,Stanford University,ARCH,64,14439,84,24.5,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Wong,Ding Fa,Martin,1987,University of Illinois at Urbana-Champaign,EDA,58,13659,83,31.3,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Zhai,,ChengXiang,2002,Carnegie Mellon University,WEB+IR,82,33507,82,28,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Hwu,,Wen-mei,1987,University of California - Berkeley,ARCH,s,23966,78,20.8,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,LaValle,M.,Steven,1995,University of Illinois at Urbana-Champaign,ROBOTICS,57,28525,73,29.6,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Ji,,Heng,2007,New York University,NLP,49,7659,67,15.5,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Schwing,G.,Alexander,2014,Swiss Federal Institute of Technology Zurich,"VISION, ML",35,5236,64,18.7,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Abdelzaher,F.,Tarek,1999,University of Michigan,EMBEDDED,89,36692,63,14.8,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Sha,,Lui,1985,Carnegie Mellon University,EMBEDDED,64,27017,54,16.3,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Chekuri,,Chandra,1998,Stanford University,THEORY,54,10857,53,19.5,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Hoiem,,Derek,2007,Carnegie Mellon University,VISION,46,16974,51,16.1,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Hanghang,,Tong,2009,Carnegie Mellon University,ML,48,12543,48,11.6,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Hauser,,Kris,2008,Stanford University,ROBOTICS,31,3606,44,19,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Choudhury,Roy,Romit,2006,University of Illinois at Urbana-Champaign,MOBILE,54,13569,43,11.8,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Lazebnik,,Svetlana,2006,University of Illinois at Urbana-Champaign,VISION,49,26399,43,14.9,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Bretl,,Timothy,2005,Stanford University,ROBOTICS,32,4007,39,14.8,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Chan,Moon-Yew,Timothy,1995,University of California - Berkeley,THEORY,49,7337,39,28.1,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Adve,Vikram,Sarita,1993,University of Wisconsin - Madison,ARCH,62,15485,37,10.9,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Madhusudan,,Parthasarathy,2002,Indian Institute of Technology Madras,"PL, LOGIC",45,6920,37,12.3,,Jiaqi Xi
394,University of Illinois at Urbana-Champaign,Chang,Chen-chuan,Kevin,2000,Stanford University,"WEB+IR, DB",49,12099,36,10.7,,Jiaqi Xi
